unlist.colnames.data_f..,unlist.p_val_list.
income_fy23,0.497702027281763
populationquartile_2021,0.000288673907666025
country_war,0.290592118206436
age0to14_percent,0.00124448825106848
age15to65over_percent,0.184866404851698
age65over_percent,0.000168392168095962
people_per_sqkm,0.712918247190546
populationgrowth_percent,0.91570239480867
urbanpopulation_percentoftotal,0.680873046183797
urbanpopulationgrowth_percent,0.935084298571137
ruralpopulation_percentoftotal,0.680873046183799
ruralpopulationgrowth_percent,0.851787802644517
schoolenrollment_secondary_female_percent,0.974293634338136
schoolenrollment_secondary_male_percent,0.727336357499693
gdp_percapita_lcu,0.359265647156107
gdpgrowth_percent,0.166233240418982
deathrate_per1000,0.0398918642021676
mortality_rta_per100000,0.590348225909287
physicians_per1000,0.060750032041631
surgicalprocedures_per100000,0.58928174580185
risk_impoverishing_surgicalcare_percent,0.00169257359457455
risk_catastrophic_surgicalcare_percent,0.77573801872173
pushedbelow_60percent_poverty_healthcareexpenditure_percent,0.810481107311297
healthexpenditure_percentofgdp,9.72117235429399e-05
healthexpenditure_percapita_usd,0.376813567293565
outofpocketexpenditure_percentcurrenthealthexpenditure,0.00685492688372986
outofpocketexpenditure_over25percenthouseholdincome_percentofpeople,0.0823423352609453
netofficialaidanddevassistance_2020usd,0.15908985573878
Density_Diff_2022_2016,0
